id;start_date;end_date;company_user_id
140;2019-01-01;2019-01-31;1
147;2019-02-01;2019-02-28;1
148;2019-03-01;2019-03-31;1
149;2019-04-01;2019-04-30;1
150;2019-05-01;2019-05-31;1
151;2019-06-01;2019-06-30;1
152;2019-07-01;2019-07-31;1
153;2019-08-01;2019-08-31;1

